NORMA,LINK,DESCRIPCION
Ley N° 8968 de 2011. LEY DE PROTECCIÓN DE LA PERSONA FRENTE AL TRATAMIENTO DE SUS DATOS PERSONALES,http://www.tse.go.cr/pdf/normativa/leydeprotecciondelapersona.pdf,Datos personales
"LEY N° 9048 de 2012. REFORMA DE VARIOS ARTÍCULOS Y MODIFICACIÓN DE LA SECCIÓN VIII, DENOMINADA DELITOS INFORMÁTICOS Y CONEXOS, DEL TÍTULO VII DEL CÓDIGO PENAL",https://www.google.com.co/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiN-d2xxczOAhVEpx4KHbxbCEIQFggaMAA&url=http%3A%2F%2Fwww.mopt.go.cr%3A10039%2Fportal%2FHome%2520Educacion%2520Vial%2FDocumentos%2Flegislacion%2FLey_9048_Delitos_Informaticos.pdf&usg=AFQjCNFBYDM_7nUWX78tVafeijqBVIh3pw,Datos personales
DECRETO EJECUTIVO No. 37554-JP del 20120 REGLAMENTO A LA LEY DE PROTECCIÓN DE LA PERSONA FRENTE AL TRATAMIENTO DE SUS DATOS PERSONALES.,http://www.prodhab.go.cr//documentacion/?legislacion,Datos personales
LEY Nº 7975 DE 2000. LEY DE INFORMACION NO DIVULGADA,http://www.wipo.int/wipolex/es/text.jsp?file_id=208114,Secreto comercial e industrial
REGLAMENTO A LA LEY DE INFORMACIÓN NO DIVULGADA,http://www.tra.go.cr/NormativaRegistral/Reglamento%20a%20la%20Ley%20de%20informaci%C3%B3n%20no%20divulgada.pdf,Secreto comercial e industrial
Expediente N.º 19.113. TRANSPARENCIA Y ACCESO A LA INFORMACIÓN PÚBLICA.,https://www.google.com.co/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&cad=rja&uact=8&ved=0ahUKEwjwwpXTyczOAhUFpB4KHVluCS4QFghEMAc&url=http%3A%2F%2Fwww.hacienda.go.cr%2Fcifh%2Fsidovih%2Fuploads%2FArchivos%2FProyectos%2520de%2520ley%2FExpediente%252019113-La%2520gaceta%2520117%2520-19%2520junio%25202014.docx&usg=AFQjCNFtkygZMLSSl9s2exhvXl6BtSKsVg,Acceso a la información
ARTICULOS 27 DERECHO DE PETICION Y 30 LIBRE ACCESO A LOS DEPARTAMENTOS ADMINISTRATIVOS - CONSTITUCIÓN PÚBLICA DE COSTA RICA,http://sitios.poder-judicial.go.cr/salaconstitucional/Constitucion%20Politica/Constituci%C3%B3n%20Pol%C3%ADtica%20Anotada%20con%20Jurisprudencia/3-Constituci%C3%B3n%20anotada.htm,Acceso a la información
Ley 7839 DE 1998. SISTEMA DE ESTADÍSTICA NACIONAL ,https://www.google.com.co/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjFw87Qy8zOAhVGlh4KHdH_DGkQFggaMAA&url=http%3A%2F%2Funstats.un.org%2Funsd%2Fdnss%2FdocViewer.aspx%3FdocID%3D292&usg=AFQjCNEHNkkii2SF7vN4dve-2iAL5-sVaQ,Producción de datos
LEY 8284 DE 2002. REFORMA DE LA LEY 7839,http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=48717&nValor3=51958&strTipM=TC#ddown,Producción de datos
DECLARATORIA DE INTERÉS PÚBLICO PARA UN GOBIERNO ABIERTO 2015-2018,http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=80812&nValor3=102679&strTipM=TC,Gobierno abierto
DECRETO N° 38994 DE 2015 FOMENTO DEL GOBIERNO ABIERTO EN LA ADMINISTRACIÓN PÚBLICA Y CREACIÓN DE LA COMISIÓN NACIONAL POR UN GOBIERNO ABIERTO,http://presidencia.go.cr/wp-content/uploads/2015/10/Decreto-38994-MP-PLAN-MICITT-La-Gaceta-91-13-mayo-2015.docx,Gobierno abierto
DECRETO N° 38276-RE-MIDEPLAN-MICITT Fomento del Gobierno abierto en las instituciones públicas y Creación de la Comisión Intersectorial de Gobierno Abierto,http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=76929&nValor3=96215&strTipM=TC,Gobierno abierto
COMPENDIO DE RESOLUCIONES SOBRE INFORMACIÓN CONFIDENCIAL,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi7pqLysMTOAhWFdx4KHWihCagQFggeMAA&url=http%3A%2F%2Fwww.pgr.go.cr%2Findex.php%2Fprocuraduria-de-la-etica-publica%2Fitem%2Fdownload%2F483_dd4162dca02fedd95d4c72b317f1bdb2&usg=AFQjCNEQJoB5kk_tj4JyR5sqPYPU3dL8lA,Confidencialidad
LEY NO. 7202 DE 1990 LEY DEL SISTEMA NACIONAL DE ARCHIVOS,http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=8885&nValor3=75177&param2=1&strTipM=TC&lResultado=1&strSim=simp,Acceso a la información
